Assessment,Check,Status,Severity,Description,Recommendation,Reference,Compliance Impact,Exploitable,MITRE ATT&CK,Exploitation Details
"Privileged Accounts Security Assessment","Domain Admin Count",FAILED,Critical,"Checks if the number of domain administrator accounts is within recommended limits","Limit the number of Domain Administrators to 2-4 carefully managed accounts","https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/plan/security-best-practices/appendix-b--privileged-accounts-and-groups-in-active-directory","","No","",""
"Privileged Accounts Security Assessment","Dormant Admin Accounts",PASSED,High,"Checks for dormant administrator accounts that may pose a security risk","Disable or remove dormant administrator accounts that haven't been used within the last 60 days","https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/plan/security-best-practices/monitoring-active-directory-for-signs-of-compromise","","No","",""
"Privileged Accounts Security Assessment","Service Account Privileges",PASSED,High,"Checks if service accounts have excessive privileges","Remove service accounts from privileged groups and implement managed service accounts or group managed service accounts","https://docs.microsoft.com/en-us/windows-server/security/group-managed-service-accounts/group-managed-service-accounts-overview","","No","",""
"Privileged Accounts Security Assessment","Nested Privileged Groups",PASSED,Medium,"Checks for nested group memberships in privileged groups which can obscure privilege paths","Remove nested groups from privileged groups to maintain clear privilege paths and reduce attack surface","https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/plan/security-best-practices/appendix-c--protected-accounts-and-groups-in-active-directory","","No","",""
"Privileged Accounts Security Assessment","Protected Users Group Membership",PASSED,High,"Checks if privileged accounts are members of the Protected Users group","Add all privileged accounts to the Protected Users group to provide additional security protections","https://docs.microsoft.com/en-us/windows-server/security/credentials-protection-and-management/protected-users-security-group","","No","",""
"Privileged Accounts Security Assessment","Admin MFA Enforcement",PASSED,Critical,"Checks if multi-factor authentication is enforced for administrative accounts","Configure all administrative accounts to require multi-factor authentication","https://docs.microsoft.com/en-us/azure/active-directory/authentication/howto-mfa-getstarted","","No","",""
"Password Policy Security Assessment","Password Complexity",PASSED,High,"Checks if password complexity requirements are enforced in the domain password policy","Enable password complexity requirements in the domain policy to enhance password security","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/password-must-meet-complexity-requirements","","No","",""
"Password Policy Security Assessment","Minimum Password Length",FAILED,High,"Checks if the minimum password length meets security recommendations","Configure minimum password length to at least 14 characters","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/minimum-password-length","","No","",""
"Password Policy Security Assessment","Password History",PASSED,Medium,"Checks if password history requirements meet security recommendations","Configure password history to remember at least 24 previous passwords","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/enforce-password-history","","No","",""
"Password Policy Security Assessment","Password Age",PASSED,Medium,"Checks if password age settings meet security recommendations","Configure minimum password age to at least 1.0 day and maximum password age to no more than 90.0 days","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/maximum-password-age","","No","",""
"Password Policy Security Assessment","Account Lockout Settings",FAILED,High,"Checks if account lockout settings meet security recommendations","Configure account lockout threshold to 10 or fewer attempts"" lockout duration to at least 15 minutes"" and observation window to at least 15 minutes","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/account-lockout-policy","","No","",""
"Password Policy Security Assessment","Fine-Grained Password Policies",FAILED,Informational,"Checks if fine-grained password policies are used for different security requirements","Consider implementing fine-grained password policies for different user groups"" especially for privileged accounts","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/fine-grained-password-policies","","No","",""
"Password Policy Security Assessment","Reversible Encryption",PASSED,Critical,"Checks if passwords are stored with reversible encryption","Disable 'Store passwords using reversible encryption' in the domain password policy","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/store-passwords-using-reversible-encryption","","No","",""
"Domain Controller Security Assessment","Domain Controller OS Versions",PASSED,Critical,"Checks if domain controllers are running supported operating system versions","Upgrade all domain controllers to Windows Server 2016 or newer","https://docs.microsoft.com/en-us/windows-server/get-started/windows-server-release-info","","No","",""
"Domain Controller Security Assessment","LDAP Security Configuration",PASSED,High,"Checks if LDAP signing and LDAPS are properly configured on domain controllers","Configure LDAP signing requirements to 'Require signing'"" enable LDAPS on all domain controllers"" and disable weak encryption types","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/domain-controller-ldap-server-signing-requirements","","No","",""
"Domain Controller Security Assessment","SMB Signing Configuration",FAILED,High,"Checks if SMB signing is properly configured on domain controllers","Configure 'Microsoft network server: Digitally sign communications (always)' to 'Enabled' for all domain controllers","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always","","No","",""
"Domain Controller Security Assessment","DNS Security Configuration",FAILED,Medium,"Partial check of DNS security settings via LDAP - full check requires direct DNS server access","Enable DNSSEC"" configure secure DNS updates"" and implement DNS logging on all domain controllers","https://docs.microsoft.com/en-us/windows-server/networking/dns/deploy/dnssec","","No","",""
"Domain Controller Security Assessment","FSMO Roles Configuration",PASSED,Medium,"Checks if FSMO roles are properly configured and distributed","Ensure FSMO roles are assigned to properly secured domain controllers. For smaller environments"" consolidate roles on 1-2 DCs; for larger environments"" consider distributing roles according to a designed topology.","https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/plan/planning-operations-master-role-placement","","No","",""
"Trust Relationships Security Assessment","Trust Relationship Inventory",PASSED,Informational,"Creates an inventory of all trust relationships in the Active Directory environment","Review all trust relationships regularly and remove any that are not necessary","https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/manage/understanding-trust-relationships","","No","",""
"Trust Relationships Security Assessment","SID Filtering on External Trusts",PASSED,High,"Checks if SID filtering is enabled on external trusts to prevent SID history attacks","Enable SID filtering on all external trusts to prevent SID history attacks","https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/manage/security-considerations-for-trusts","","No","",""
"Trust Relationships Security Assessment","Transitive Trust Relationships",PASSED,Medium,"Checks for transitive trust relationships that could pose security risks","Review all transitive trusts and consider making them non-transitive where appropriate","https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/manage/forest-design-models","","No","",""
"Trust Relationships Security Assessment","External Trust Security",PASSED,High,"Checks for external trusts and evaluates their security configuration","Configure all external trusts to be non-transitive and enable selective authentication","https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/manage/security-considerations-for-trusts","","No","",""
"Trust Relationships Security Assessment","Forest Trust Security",PASSED,High,"Checks for forest trusts and evaluates their security configuration","Enable selective authentication and maintain SID filtering on all forest trusts","https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/manage/forest-design-models","","No","",""
"Authentication Protocols Security Assessment","NTLM Restriction",FAILED,High,"Checks if NTLM authentication is restricted in the domain","Configure NTLM restriction policies to limit legacy authentication protocols","https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/network-security-restrict-ntlm-ntlm-authentication-in-this-domain","","No","",""
"Authentication Protocols Security Assessment","LDAP Channel Binding and Signing",FAILED,Critical,"Checks if LDAP channel binding and LDAP signing are enforced","Enable LDAP channel binding and LDAP signing to prevent NTLM relay attacks","https://support.microsoft.com/en-us/topic/2020-ldap-channel-binding-and-ldap-signing-requirements-for-windows-ef185fb8-00f7-167d-744c-f299a66fc00a","","No","",""
"Authentication Protocols Security Assessment","Kerberos Encryption Configuration",PASSED,High,"Checks if secure Kerberos encryption types are configured","Configure Kerberos to use only strong encryption types (AES) and disable weak encryption types (DES"" RC4)","https://docs.microsoft.com/en-us/windows-server/security/kerberos/kerberos-authentication-overview","","No","",""
"Authentication Protocols Security Assessment","Windows Defender Credential Guard",FAILED,High,"Checks if Windows Defender Credential Guard is configured","Enable Windows Defender Credential Guard to protect credentials from theft","https://docs.microsoft.com/en-us/windows/security/identity-protection/credential-guard/credential-guard","","No","",""
"Authentication Protocols Security Assessment","Local Administrator Password Solution (LAPS)",FAILED,High,"Checks if LAPS is implemented to manage local administrator passwords","Implement LAPS to securely manage and rotate local administrator passwords","https://docs.microsoft.com/en-us/defender-for-identity/security-assessment-laps","","No","",""
"Authentication Protocols Security Assessment","Kerberos Delegation Security",FAILED,Critical,"Checks for insecure Kerberos delegation configurations","Replace unconstrained delegation with constrained delegation and protect sensitive accounts from delegation","https://docs.microsoft.com/en-us/windows-server/security/kerberos/kerberos-constrained-delegation-overview","","No","",""
"Tiered Administration Model Assessment","Administrative Tier Separation",PASSED,Critical,"Checks if administrative tiers are properly implemented and separated","Implement proper tiered administration model with clear separation between tiers","https://docs.microsoft.com/en-us/security/compass/privileged-access-access-model","","No","",""
"Tiered Administration Model Assessment","Privileged Access Workstations (PAWs)",FAILED,High,"Checks if Privileged Access Workstations are implemented for administrative tasks","Implement Privileged Access Workstations for administrative activities"" especially for Tier 0 administrators","https://docs.microsoft.com/en-us/security/compass/privileged-access-devices","","No","",""
"Tiered Administration Model Assessment","Tier 0 Asset Security",PASSED,Critical,"Checks security of Tier 0 assets and accounts","Implement enhanced security controls for all Tier 0 assets and accounts","https://docs.microsoft.com/en-us/security/compass/privileged-access-security-baselines","","No","",""
"Tiered Administration Model Assessment","Lateral Movement Paths",FAILED,High,"Checks for potential lateral movement paths between administrative tiers","Analyze and eliminate lateral movement paths between tiers by implementing proper network segmentation and JIT administration","https://docs.microsoft.com/en-us/security/compass/privileged-access-access-model","","No","",""
